boundary_index,candidate_id,cohort,material,path,step_cm,volume,x_cm,y_cm,z_cm
22,afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,Aluminium,/cave_1/DecayVolume_1/T2_1/VetoVerticalRib_0/VetoVerticalRib_z736_0,80.53458683087467,VetoVerticalRib_z736,-90.68419654077084,16.26679872545986,4048.0
23,afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,LiquidScintillator,/cave_1/DecayVolume_1/T2_1/VetoLiSc_0/LiScY_220920_220922,1.5006444751093801,LiScY_220920,-90.72740657697545,16.27496777973592,4049.5
24,afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,Aluminium,/cave_1/DecayVolume_1/T2_1/VetoVerticalRib_0/VetoVerticalRib_z818_0,80.53458683087467,VetoVerticalRib_z818,-93.04634518662314,16.713373692551123,4130.0
25,afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,LiquidScintillator,/cave_1/DecayVolume_1/T2_1/VetoLiSc_0/LiScY_221020_221022,1.5006444751093801,LiScY_221020,-93.08955522282776,16.721542746827183,4131.5
26,afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,Aluminium,/cave_1/DecayVolume_1/T2_1/VetoVerticalRib_0/VetoVerticalRib_z900_0,80.53458683087467,VetoVerticalRib_z900,-95.40849383247544,17.159948659642385,4212.0
27,afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,LiquidScintillator,/cave_1/DecayVolume_1/T2_1/VetoLiSc_0/LiScY_221120_221122,1.5006444751093801,LiScY_221120,-95.45170386868006,17.168117713918445,4213.5
28,afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,Aluminium,/cave_1/DecayVolume_1/T2_1/VetoVerticalRib_0/VetoVerticalRib_z982_0,80.53458683087467,VetoVerticalRib_z982,-97.77064247832774,17.606523626733647,4294.0
29,afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,LiquidScintillator,/cave_1/DecayVolume_1/T2_1/VetoLiSc_0/LiScY_221220_221222,1.5006444751093801,LiScY_221220,-97.81385251453236,17.614692681009707,4295.5
30,afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,Aluminium,/cave_1/DecayVolume_1/T2_1/VetoVerticalRib_0/VetoVerticalRib_z1064_0,80.53458683087467,VetoVerticalRib_z1064,-100.13279112418005,18.05309859382491,4376.0
31,afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,LiquidScintillator,/cave_1/DecayVolume_1/T2_1/VetoLiSc_0/LiScY_221320_221322,1.5006444751093801,LiScY_221320,-100.17600116038466,18.06126764810097,4377.5
